uid,video_id,start_seconds,stop_seconds,narration,verb,noun,location
27,P01_01,78.99,82.78999999999999,still washing carrot,wash,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
28,P01_01,82.19,83.19,close tap,close,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
29,P01_01,85.49,86.49,put down vegetables,put-down,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
30,P01_01,87.43,88.28999999999999,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
31,P01_01,92.53,94.09,take grater,take,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
32,P01_01,95.28,99.56,take pan,take,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
33,P01_01,100.74000000000001,102.25999999999999,put down pan,put-down,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
34,P01_01,101.66,102.41,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
35,P01_01,103.02000000000001,103.77000000000001,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
36,P01_01,104.1,105.22,take courgette,take,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
37,P01_01,105.69,122.03,cut courgette,cut,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
38,P01_01,122.13,126.98,turn on hob,turn-on,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
39,P01_01,127.8,144.89,cut courgette,cut,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
40,P01_01,130.99,145.79,still cutting courgette,cut,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
41,P01_01,150.53,165.65,dicing courgette,dice,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
42,P01_01,165.75,180.28,still dicing courgette,dice,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
43,P01_01,180.38,193.9,still dicing courgette,dice,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
44,P01_01,239.04,248.81,still dicing courgette,dice,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
45,P01_01,250.05,257.87,pour courgette onto pan,pour,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
46,P01_01,261.69,264.65,throw courgette into rubbish bin,throw,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
47,P01_01,265.06,266.44,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
48,P01_01,268.57,269.24,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
49,P01_01,270.43,272.15999999999997,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
50,P01_01,272.08,277.85,stir courgette,stir,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
51,P01_01,279.6,281.35,take salt,take,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
52,P01_01,281.45,282.93,open salt,open,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
53,P01_01,282.8,285.05,pour salt onto pan,pour,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
54,P01_01,285.15,286.79,put down salt,put-down,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
55,P01_01,287.86,294.25,stir courgette,stir,courgette,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
56,P01_01,294.35,295.6,put down spatula,put-down,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
57,P01_01,295.7,299.7,take celery,take,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
58,P01_01,301.25,315.5,still washing celery,wash,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
59,P01_01,301.3,303.46,open tap,open,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
60,P01_01,303.56,315.49,wash celery,wash,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
61,P01_01,315.03,315.94,close tap,close,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
62,P01_01,318.25,320,put down celery,put-down,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
63,P01_01,322.78,328.18,cut celery,cut,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
64,P01_01,328.28,338.07,still cutting celery,cut,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
65,P01_01,341.64,346.21,pour celery onto pan,pour,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
66,P01_01,346.01,347.67,put down cutting board and knife,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
67,P01_01,347.33,353.79,take celery,take,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
68,P01_01,354.09000000000003,358.44,throw things into garbage bin,throw,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
69,P01_01,360.21,361.84,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
70,P01_01,360.76,363.07,put celery back into fridge,put,celery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
71,P01_01,363.07,364.15,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
72,P01_01,367.34,368.34,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
73,P01_01,368.37,378.03,stir something,stir,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
74,P01_01,377.83,379.31,put down spatula,put-down,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
75,P01_01,379.26,381.2,open container,open,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
76,P01_01,381.53,384.85,take onion,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
77,P01_01,384.01,384.76,take onion,take,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
78,P01_01,384.86,385.58,put down onion,put-down,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
79,P01_01,385.48,388.37,close container,close,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
80,P01_01,390.52,391.28,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
81,P01_01,390.95,392.13,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
82,P01_01,392.59000000000003,398.75,cut onion,cut,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
83,P01_01,395.4,407.03,still cutting onion,cut,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
84,P01_01,408.39,422.18,still cutting onion,cut,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
85,P01_01,424.69,426.42,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
86,P01_01,426.95,429.35,take kettle,take,kettle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
87,P01_01,429.74,433.81,open tap,open,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
88,P01_01,429.91,437.77,pour water into kettle,pour,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
89,P01_01,437,443.16,still pouring water,pour,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
90,P01_01,441.5,442.25,close tap,close,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
91,P01_01,445.11,447.13,turn kettle on,turn,kettle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
92,P01_01,450.08,450.8,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
93,P01_01,450.55,458.3,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
94,P01_01,455.57,464.74,still stirring vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
95,P01_01,467.5,468.55,take glass,take,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
96,P01_01,469.14,470.32,take glass,take,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
97,P01_01,471.45,472.7,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
98,P01_01,474.18,477.23,put glass into cupboard,put,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
99,P01_01,476.74,479.32,close cupboard,close,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
100,P01_01,479.75,480.88,take cup,take,cup,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
101,P01_01,481.47,482.21,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
102,P01_01,482.13,483,put cup into cupboard,put,cup,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
103,P01_01,485.22,487.21,take container and lid,take,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
104,P01_01,488.38,489.12,put container on top of counter,put,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
105,P01_01,492,492.74,open container,open,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
106,P01_01,493.22,494.37,put container inside container,put,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
107,P01_01,495.8,496.99,close lid,close,lid,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
108,P01_01,499.64,500.6,put container in cupboard,put,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
109,P01_01,502.35,503.31,take plate,take,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
110,P01_01,504.66,507.92,put plate down,put,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
111,P01_01,508.16,509.94,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
112,P01_01,509.29,511.54,take something,take,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
113,P01_01,512.66,514.43,put down something,put-down,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
114,P01_01,516.81,518.05,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
115,P01_01,517.88,519.13,take fork,take,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
116,P01_01,519.34,520.25,put down fork,put-down,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
117,P01_01,521.19,522.08,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
118,P01_01,521.92,528.56,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
120,P01_01,542.04,542.98,take container,take,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
121,P01_01,546.39,547.42,open fridge,open,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
122,P01_01,547.4,549.01,put container into fridge,put,container,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
123,P01_01,549.28,550.03,close fridge,close,fridge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
124,P01_01,553.41,554.49,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
125,P01_01,554.66,558.5,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
126,P01_01,561.12,562.32,take grater,take,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
127,P01_01,561.12,562.52,take grater,take,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
128,P01_01,562.08,562.81,take carrots,take,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
129,P01_01,564.25,568.84,cut carrots,cut,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
130,P01_01,569.18,571.02,drop grater,drop,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
131,P01_01,574.42,586.92,grate carrots,grate,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
132,P01_01,587.02,595.58,still grating carrots,grate,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
133,P01_01,590.29,600.72,still grating carrot,grate,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
134,P01_01,602.19,638.99,still grating carrot,grate,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
135,P01_01,639.51,640.27,put down grater,put-down,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
136,P01_01,641.81,642.83,throw carrot into bin,throw,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
137,P01_01,644.49,645.33,take grater,take,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
138,P01_01,649.68,650.77,put down grater,put-down,grater,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
139,P01_01,652.77,653.83,throw carrot into bin,throw,carrot,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
140,P01_01,654.75,655.75,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
141,P01_01,655.73,660.95,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
142,P01_01,662.55,663.55,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
143,P01_01,663.55,665.3,take saucepan,take,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
144,P01_01,667.31,674.16,put down saucepan,put-down,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
145,P01_01,675,676.99,turn hob,turn,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
146,P01_01,679.51,682.29,take kettle,take,kettle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
147,P01_01,683.41,697.36,pour water into saucepan,pour,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
148,P01_01,686.55,691.55,see boiling water,see,water:boiling,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
149,P01_01,699.07,701.91,put down kettle,put-down,kettle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
150,P01_01,703.86,705.41,take olive oil,take,oil:olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
151,P01_01,707.88,713.08,pour oil,pour,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
152,P01_01,713.14,716.39,close oil,close,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
153,P01_01,716.49,717.82,put down oil,put-down,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
154,P01_01,717.92,718.8,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
155,P01_01,719.03,720.04,take cutting board with onion,take,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
156,P01_01,720.45,722.38,pouring onion,pour,onion,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
157,P01_01,722.45,723.55,put down cutting board,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
158,P01_01,723.7,731.48,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
159,P01_01,730.37,750.08,still stirring vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
160,P01_01,750.39,751.52,take salt,take,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
161,P01_01,751.62,753.15,open salt,open,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
162,P01_01,752.75,754,put down salt,put-down,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
163,P01_01,753.09,754.49,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
164,P01_01,754.95,756.7,take spoon,take,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
165,P01_01,757.8,761.59,pour salt onto spoon,pour,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
166,P01_01,762.15,763.65,pour salt into water,pour,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
167,P01_01,762.73,764.37,stir water,stir,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
168,P01_01,764.91,765.76,close salt,close,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
169,P01_01,766.1,766.78,put down spoon,put-down,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
170,P01_01,767.5,769.4,put down salt,put-down,salt,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
171,P01_01,769.54,770.27,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
172,P01_01,770.26,771.32,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
173,P01_01,771.4,772.66,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
174,P01_01,774.72,808.26,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
175,P01_01,775.67,781.63,still stirring vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
176,P01_01,789.33,819.66,still stirring vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
177,P01_01,819.54,820.87,put down spatula,put-down,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
178,P01_01,821.22,822.41,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
179,P01_01,822.41,825.17,take something,take,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
180,P01_01,824.28,825.77,put down something,put-down,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
181,P01_01,826.91,828.61,take rice,take,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
182,P01_01,829.23,835.31,open rice,open,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
183,P01_01,839.14,840.44,put down rice,put-down,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
184,P01_01,840.71,841.64,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
185,P01_01,841.74,847.27,stir vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
186,P01_01,847.37,864.11,still stirring vegetables,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
187,P01_01,864.26,865.31,put down spatula,put-down,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
188,P01_01,866,867.27,take tofu,take,tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
189,P01_01,869.59,871.03,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
190,P01_01,870.88,875.11,cut tofu sleeve,cut,tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
191,P01_01,875.48,885.08,open tofu container,open,container:tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
192,P01_01,885.93,889.17,pour tofu onto pan,pour,tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
193,P01_01,889.53,890.92,put down tofu container,put-down,container:tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
194,P01_01,890.88,904.28,stir vegetables and tofu,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
195,P01_01,904.17,905.18,put down spatula,put-down,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
196,P01_01,905.28,908.19,take tofu container,take,container:tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
197,P01_01,909.33,911.48,throw something into the bin,throw,container:tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
198,P01_01,911.43,913.59,throw something into the bin,throw,container:tofu,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
199,P01_01,917.61,918.43,throw tupperware container into the bin,throw,container:tupperware,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
200,P01_01,921.64,922.39,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
201,P01_01,921.66,928.69,stir vegetables in tofu,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
202,P01_01,928.62,929.95,take rice,take,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
203,P01_01,931.78,937.61,pour rice into water,pour,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
204,P01_01,938.46,942.95,pour rice into water,pour,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
205,P01_01,945.45,951.6,fold rice bag,fold,bag:rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
206,P01_01,951.7,953.04,close rice bag,close,bag:rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
207,P01_01,953.95,955,open cupboard,open,cupboard,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
208,P01_01,955.05,956.87,put rice into cupboard,put,rice,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
209,P01_01,959.28,969.59,stir vegetables in tofu,stir,vegetable,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
210,P01_01,959.49,960.51,take spatula,take,spatula,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
211,P01_01,970.43,971.15,take bottle,take,bottle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
212,P01_01,971.25,971.96,open top,open,top,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
213,P01_01,973.41,984.8,pour water into bottle,pour,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
214,P01_01,983.64,985.68,close top,close,top,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
215,P01_01,986.43,988.16,put bottle onto table,put,bottle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
216,P01_01,989.6,993.6,take cutlery,take,cutlery,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_01.MP4
